Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
Bluff,11,1725,262.5547562,15,22.737634,0,20,0,20,0,20,0,20,0,20,0,20,7,22.91287847,5,19.07878403,7,22.27105745,9,19.62141687,0,20,79,42.01190308,159,64.22616289,16,26.45751311,398,114.415908,444,139.5886815,150,78.65112841,218,109.7588265,46,34.88552709,109,48.61069841,45,37.60319135,18,21.56385865,0,20
Bon Air,12,595,104,8,12,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,11,16,10,15,10,9,179,64,53,58,23,20,109,61,82,53,50,30,51,40,0,10,9,15
Brighton Heights,13,5389,360.8974924,158,64.82283548,0,26.45751311,0,26.45751311,0,26.45751311,0,26.45751311,7,28.72281323,2,25,0,26.45751311,0,26.45751311,0,26.45751311,50,43.55456348,34,32.38826948,39,28.61817604,60,42.19004622,70,41.40048309,1503,254.7881473,204,73.07530363,308,96.90717208,649,146.1540283,564,130.5335206,1222,195.5274917,405,104.3695358,95,62.05642594,19,28.61817604
Brookline,14,9770,621.5295649,45,45.0555213,9,39.94996871,0,38.72983346,0,38.72983346,0,38.72983346,4,39,22,49.88987873,0,38.72983346,0,38.72983346,0,38.72983346,106,81.16033514,73,60.78651166,200,118.9915963,232,123.6244312,110,73.91887445,2714,334.2484106,607,156.0224343,774,187.7018913,1155,216.1504106,1176,324.9630748,1672,265.8251305,669,162.2035758,117,76.78541528,85,74.65922582
California-Kirkbride,15,424,102,6,15,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,19,18,21,24,19,27,13,15,147,53,35,23,18,17,74,37,21,18,33,34,18,18,0,10,0,10
Carrick,16,7276,495.7519541,185,85.39906323,0,36.05551275,8,37,0,36.05551275,0,36.05551275,8,36.66060556,16,42.14261501,11,39.03844259,51,71.14070565,33,55.21775077,104,68.69497798,53,45.38722287,163,69.24593851,184,67.08203933,181,84.91171886,2277,266.9082239,626,167.3618834,478,123.4422942,850,180.0194434,743,170.8420323,982,188.616012,288,125.8213019,12,39.03844259,23,37.6696164
Central Business District,17,2498,339.2978043,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,5,24.49489743,20,26.26785107,0,24.49489743,9,24.10394159,27,28.86173938,21,32.80243893,304,111.9821414,211,85.732141,33,30.5777697,365,149.1274623,142,71.16881339,479,126.1110622,411,119.1931206,367,179.1870531,104,85.98837131
Central Lawrenceville,18,3757,376.289782,38,30.2654919,0,24.49489743,0,24.49489743,1,22.56102835,0,24.49489743,4,21.40093456,0,24.49489743,17,38.22302971,0,24.49489743,0,24.49489743,23,27.31300057,55,51.55579502,56,41.73727351,104,55.98214001,61,59.50630219,1031,187.7578227,109,52.1823725,177,73.40299721,405,128.4017134,255,86.59676668,876,162.1542476,401,101.7103731,99,49.45705208,45,32.29551052
Central Northside,19,2117,233.6386098,32,28.08914381,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,1,14.28285686,25,47.16990566,22,23.49468025,54,27.36786437,55,37.65634077,24,38.67815921,431,144.4056786,125,68.62215386,100,47.29693436,135,52.12485012,160,64.6529195,556,102.9757253,326,94.83142939,29,23.28089345,42,30.3644529
Central Oakland,20,1005,221.4023487,2,14.69693846,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,9,20.61552813,0,17.32050808,14,31.36877428,0,17.32050808,72,79.55501241,24,28.44292531,0,17.32050808,0,17.32050808,9,19.20937271,149,117.8516016,21,26.64582519,68,46.74398357,116,60.09159675,0,17.32050808,238,101.1236866,163,76.94803441,42,47.16990566,78,68.8839604
Chartiers City,21,356,98,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,6,10,0,10,32,28,96,44,29,30,23,22,72,46,20,19,40,51,34,35,0,10,4,7
Chateau,22,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Crafton Heights,23,2518,217.0023041,5,19.5192213,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,5,19.07878403,0,20,13,20,92,52.24940191,59,46.23851209,63,43.11612227,763,135.1665639,116,59.11006682,260,82.3225364,317,86.81589716,179,63.38769597,532,117.5797602,96,43.95452195,14,20.04993766,4,19.07878403
Crawford-Roberts,24,1517,225.8694313,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,10,18.02775638,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,34,29.68164416,73,74.67261881,57,48.27007354,92,63.0634601,443,140.9113196,144,70.43436661,181,81.68843247,178,79.906195,154,84.59905437,110,55.54277631,32,31.6227766,0,14.14213562,9,16.40121947
Duquesne Heights,25,1953,266.8107944,11,18.86796226,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,6,14.86606875,0,14.14213562,0,14.14213562,29,31.144823,44,35.22782991,13,21.47091055,21,21.47091055,461,137.8767566,148,82.87339742,131,70.21395873,185,96.25487001,161,66.12866247,418,94.9210198,268,98.00510191,34,31.6227766,23,25.55386468
East Allegheny,26,1902,230.3844613,23,33.52610923,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,12,30.6757233,15,19.72308292,93,53.41348144,87,61.40032573,47,48.76474136,79,40.80441153,450,119.8665925,107,73.05477397,80,57.70615219,127,60.53924347,167,82.03657721,405,146.4786674,148,69.20260111,29,34.0147027,33,24.69817807
East Carnegie,27,391,102,4,8,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,6,14,7,11,4,7,0,10,126,46,44,38,29,26,28,19,71,34,56,38,15,19,0,10,1,22
East Hills,28,1852,266.7976762,9,20.61552813,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,31,34.19064199,36,46.21688003,8,19.20937271,95,65.12296062,561,168.8371997,168,82.90355843,188,94.71536306,419,142.1478104,132,73.89857915,123,89.02246907,73,39.2173431,0,17.32050808,9,19.20937271
East Liberty,29,3959,346.1473675,25,35,8,29.47880595,14,35.05709629,0,28.28427125,0,28.28427125,0,28.28427125,0,28.28427125,8,29.93325909,37,42.04759208,17,32.40370349,104,53.75872022,83,67.99264666,163,78.37729263,22,30.757113,52,37.36308338,735,195.2562419,322,125.8133538,201,86.60254038,565,149.3385416,303,115.9094474,734,152.2727815,394,99.89994995,89,72.03471385,83,45.27692569
Elliott,30,1485,219.8044586,25,28.98275349,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,17,22.36067978,13,24.49489743,26,22.91287847,47,36.23534186,60,33.76388603,501,127.5813466,114,65.8634952,63,46.36809248,177,82.37111144,225,81.1972906,136,72.51206796,61,37.86819246,11,22.11334439,9,19.20937271
Esplen,31,235,89,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,5,9,0,10,7,11,0,10,88,57,48,42,30,29,23,34,11,15,12,19,11,16,0,10,0,10
Fairywood,32,823,211,26,43,0,10,0,10,12,30,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,147,74,53,66,24,22,98,61,39,27,320,122,92,92,0,10,12,18
Fineview,33,930,209.1243649,6,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,4,11.66190379,0,14.14213562,9,14.14213562,35,44.14748011,47,49.03060269,0,14.14213562,314,138.6362146,49,32.57299495,60,44.14748011,168,74.41102069,124,67.95586803,59,36.67424164,52,38.89730068,0,14.14213562,3,11.66190379
Friendship,34,1447,217.0921463,14,25.07987241,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,38,61.81423784,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,17,26.2488095,0,14.14213562,8,21.47091055,15,26,14,23.2594067,184,92.96235797,20,24.16609195,13,25.07987241,119,62.43396512,74,70.71067812,393,144.5890729,360,130.8013761,50,40.49691346,128,75.71657678
Garfield,35,2330,252.1051368,12,23.2594067,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,6,21.9317122,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,21,31.2409987,63,42.86023798,80,47.92702787,99,56.1248608,24,23.89560629,502,122.8861261,307,95.59288676,158,56.6568619,598,157.2323122,173,59.24525297,162,81.57205404,73,43.63484846,27,23.64318084,25,26.85144316
Glen Hazel,36,501,252,22,23,0,10,0,10,0,10,0,10,0,10,0,10,24,53,0,10,0,10,30,54,4,9,31,36,16,21,34,31,175,124,18,23,27,26,56,54,45,43,8,13,11,18,0,10,0,10
Greenfield,37,5691,478.9269255,41,49.2036584,0,30,0,30,0,30,0,30,0,30,0,30,0,30,12,34.64101615,0,30,9,31.55946768,51,56.64803615,81,63.70243323,45,57.81003373,20,34.17601498,1279,248.4813876,254,136.1506519,459,168.6772065,431,129.9923075,335,120.2039933,1303,273.9525506,978,224.1561955,147,80.2994396,246,118.1397478
Hays,38,277,68,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,2,4,10,12,0,10,4,6,108,44,30,20,29,24,25,18,59,49,10,10,0,10,0,10,0,10
Hazelwood,39,3018,394.9329057,18,30.16620626,0,26.45751311,0,26.45751311,0,26.45751311,0,26.45751311,0,26.45751311,0,26.45751311,0,26.45751311,21,32.26453161,0,26.45751311,28,37.04051835,20,31.70173497,79,56.90342696,196,107.1120908,60,44.18144407,843,164.1554142,231,105.8820098,175,81.20960534,512,190.6305327,366,129.0116274,281,93.40770846,127,58.44655678,17,33.60059523,44,57.86190457
Highland Park,40,4674,481.2036991,12,29.3257566,0,28.28427125,0,28.28427125,0,28.28427125,0,28.28427125,0,28.28427125,0,28.28427125,0,28.28427125,0,28.28427125,0,28.28427125,18,37.80211634,0,28.28427125,9,30.91924967,12,33.1662479,44,59.13543777,861,249.539576,93,62.00806399,174,82.70429251,359,145.3994498,360,146.9285541,1233,235.7583509,836,186.6172554,317,134.4432966,346,113.291659
Homewood North,41,1775,204.0759662,18,25.94224354,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,11,25.61249695,5,21.54065923,35,37.92097045,18,23.32380758,71,44.92215489,26,24.22808288,50,38.06573262,505,127.4637203,119,58.91519329,125,62.24949799,354,101.0049504,161,62.8171951,164,62.85698052,108,50.32891813,0,22.36067978,5,21.1896201
Homewood South,42,1450,172.5920045,20,24.0208243,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,15,27.14774392,41,35.83294573,57,41.34005322,36,39.40812099,78,50.38849075,471,123.7861058,78,40.42276586,65,36.04164258,240,88.76936408,110,43.89760814,120,42.46174749,97,47.86439178,15,26.92582404,7,24.49489743
Homewood West,43,636,114.3896849,8,13.45362405,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,17,19.72308292,19,25.29822128,26,26,12,13.60147051,214,85,91,46.06517123,26,24.69817807,99,57.42821606,85,61.29437168,31,33.52610923,7,14.86606875,0,14.14213562,1,10.44030651
Knoxville,44,2535,392.2320742,37,45.7165178,0,24.49489743,0,24.49489743,10,28.08914381,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,33,56.60388679,13,30.6757233,18,29.68164416,103,82.12186067,108,67.0298441,1020,254.0275576,185,100.4440143,222,104.6231332,274,155.9070236,231,100.5634128,114,59.1776985,136,93.56281313,22,33.2565783,9,26.92582404
Larimer,45,1096,203.9852936,11,31.2409987,0,20,0,20,0,20,0,20,0,20,17,28,0,20,24,32.75667871,0,20,25,49.15282291,13,19.07878403,36,28.37252192,70,56.29387178,7,20,410,105,115,60.95900262,28,25.15949125,156,58.30094339,132,49.2138192,49,30.14962686,3,18.02775638,0,20,0,20
Lincoln Place,46,2565,370.4051835,45,56.22277119,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,9,25,32,32.75667871,53,34.39476704,95,57.97413216,1135,252.1368676,120,74.00675645,132,56.40035461,266,79.49213798,322,114.446494,286,112.9822995,53,40.22437072,17,32.01562119,0,22.36067978
Lincoln-Lemington-Belmar,47,3375,396.9219067,52,38.17066937,0,24.49489743,0,24.49489743,0,24.49489743,7,24.91987159,0,24.49489743,14,25,15,25.49509757,27,35.56683849,24,30.33150178,14,27.65863337,41,38.45776905,84,49.73932046,130,56.37375276,54,41.70131892,1196,269.2470984,106,69.04346457,169,70.9718254,617,185.9435398,216,83.76753548,400,135.735036,179,75.93418203,8,24.10394159,22,27.14774392
Lower Lawrenceville,48,1942,227.6927755,7,14.86606875,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,4,13.45362405,0,14.14213562,24,21.9544984,7,15.62049935,52,48.05205511,17,21.47091055,36,27.65863337,441,109.6220781,78,46.4865572,157,71.61005516,312,121.6552506,133,65.60487787,470,138.9460327,170,78.24321057,22,26,12,17.20465053
Manchester,49,1415,214.4621179,23,25.07987241,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,9,17.20465053,28,32.57299495,2,10.77032961,27,24.18677324,17,20,232,80.44874144,65,35.05709629,136,59.50630219,269,99.24716621,176,91.92388155,305,133.9626814,106,46.64761516,10,18.86796226,10,16.40121947
Marshall-Shadeland,50,4834,1286.02916,60,38.49675311,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,14,28.28427125,19,25.23885893,11,23.32380758,88,133.7497664,96,134.8517705,500,180.6515984,410,411.7620672,69,44.47471192,1478,426.4492936,662,165.0787691,442,155.7530096,340,113.6661779,300,154.6447542,233,92.35799911,98,50.70502934,8,24.41311123,6,22.36067978
Middle Hill,51,1293,197.1243263,23,26.15339366,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,9,19.89974874,0,17.32050808,0,17.32050808,24,30.47950131,21,19.33907961,63,50.03998401,35,24.59674775,77,53.46961754,32,21.84032967,319,97.54486147,95,46.44351408,132,63.82005954,230,82.86132994,103,76.75285011,85,83.91662529,38,30.34798181,7,17.32050808,0,17.32050808
Morningside,52,2542,297.5886423,68,55.87486018,0,20,0,20,0,20,0,20,0,20,0,20,12,27.22131518,0,20,0,20,40,32.63433774,0,20,92,69.57010852,18,23.76972865,59,50.43808085,753,182.4609547,100,57.23635209,179,83.17451533,216,98.60527369,119,65.62011887,484,117.5329741,228,93.65895579,98,56.78908346,76,46.5832588
Mount Oliver Borough,53,1905,277.2489856,52,43.09292285,0,20,0,20,0,20,0,20,6,20,21,37.26929031,8,21.65640783,32,44.74371464,0,20,26,22.737634,41,46.35730795,156,99.12618221,27,29.20616373,40,31.19294792,554,146.3352316,129,56.60388679,140,62.24949799,327,117.1921499,155,74.46475676,102,55.69560126,74,55.93746508,6,20.51828453,9,23.57965225
Mount Washington,54,6467,428.9032525,47,35.86084215,0,30,0,30,0,30,0,30,8,30.34798181,7,30.34798181,0,30,2,28.56571371,5,29.39387691,27,38.44476557,95,56.84188596,74,44.88875138,159,88.02840451,70,54.18486874,1506,227.0704736,182,66.09084657,282,96.41576635,676,143.2166191,670,162.9693223,1718,279.5210189,670,155.7273258,139,71.26710321,130,60.50619803
Mt. Oliver,55,381,81,7,8,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,6,8,0,10,0,10,158,50,34,30,20,18,60,43,77,39,14,12,5,8,0,10,0,10
New Homestead,56,676,60,19,22,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,11,12,14,14,14,14,202,66,8,9,14,17,69,30,82,31,139,47,100,41,4,7,0,10
North Oakland,57,2937,330.9984894,53,65.90902821,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,24,34.07345007,0,24.49489743,0,24.49489743,9,26.92582404,45,69.2242732,40,45.43126677,56,52.01922721,182,72.56031973,37,37.61648575,75,40.54626987,256,98.24968193,53,44.96665431,821,187.7658116,766,184.7620091,251,84.77027781,269,101.1039069
North Shore,58,159,48.05205511,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,9,18.86796226,0,14.14213562,19,20.59126028,6,14.14213562,9,16.40121947,56,30.6757233,17,20.59126028,32,27.85677655,11,14.14213562
Northview Heights,59,551,117,1,11,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,19,30,2,6,78,43,40,34,12,20,158,57,63,44,4,8,40,39,98,57,3,6,9,13,0,10,24,23
Oakwood,60,907,109,7,11,0,10,0,10,0,10,0,10,0,10,0,10,0,10,21,21,0,10,4,8,25,24,6,9,13,15,22,27,314,69,26,22,79,66,56,28,134,70,131,44,53,29,10,12,6,9
Overbrook,61,2816,269.4661389,14,21.65640783,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,18,25.88435821,6,21.9317122,22,22.6715681,22,24.85960579,64,36.52396474,81,42.84857057,48,39.03844259,1000,169.0088755,170,58.49786321,205,64.34283177,325,103.3295698,394,109.754271,305,73.19836064,117,43.76071297,11,26.90724809,14,29
Perry North,62,2864,294.0255091,24,33.54101966,0,24.49489743,1,22.71563338,1,22.71563338,0,24.49489743,0,24.49489743,0,24.49489743,15,30.6757233,3,23.43074903,0,24.49489743,9,26.38181192,11,23.34523506,40,34.07345007,89,50.85272854,30,28.8444102,711,121.9795065,72,52.77309921,128,52.60228132,464,171.0935417,188,79.32212806,688,139.992857,312,77.45966692,41,30.4466747,37,25.35744467
Perry South,63,2325,290.7988996,5,23.36664289,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,11,30,43,45.80392996,60,59.74110812,73,54.46099522,32,32.32645975,717,152.6695778,219,77.52418977,103,48.10405388,292,94.24966843,290,126.0714083,349,118.0423653,92,48.35286962,14,25.86503431,25,28.31960452
Point Breeze,64,4022,264.6733836,0,26.45751311,0,26.45751311,0,26.45751311,0,26.45751311,3,25.76819745,0,26.45751311,0,26.45751311,0,26.45751311,0,26.45751311,0,26.45751311,29,48.62098312,0,26.45751311,9,27.73084925,18,31.6227766,24,28.87905816,297,100.5087061,37,30.61045573,94,45.82575695,322,93.63759929,146,60.58877784,1139,160.3683261,933,139.1114661,431,101.3607419,540,118.5748709
Point Breeze North,65,1527,236.6114959,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,13,25.3179778,133,71.70774017,49,69.60603422,19,19.72308292,129,81.54753215,216,110.3856875,494,130.6407287,226,92.44457799,58,44.09081537,190,80.15609771
Polish Hill,66,1169,188.17545,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,10,17.20465053,0,14.14213562,7,13.45362405,6,12.80624847,0,14.14213562,18,16.2788206,18,18.02775638,25,24.04163056,308,80,80,39.8246155,38,24.75883681,183,70.45565982,72,34.13209633,276,139.1186544,78,41.14608122,20,27.85677655,30,22.8035085
Regent Square,67,774,53,8,11,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,14,18,0,10,0,10,0,10,60,26,8,12,6,10,56,29,38,32,218,51,189,44,94,43,83,59
Ridgemont,68,246,84,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,10,16,5,8,15,23,38,23,10,16,22,22,53,53,9,11,62,51,22,25,0,10,0,10
Shadyside,69,9414,684.9992701,75,64.45153218,0,37.41657387,1,36.11094017,0,37.41657387,0,37.41657387,7,39.05124838,0,37.41657387,13,39.3192065,3,36.55133377,10,38.20994635,64,76.88302804,20,37.92097045,17,41,34,45.06661736,20,39.84971769,614,187.0026738,52,50.56678752,120,71.67984375,481,174.3272784,356,129.216872,3116,451.5716997,2288,307.3157985,936,176.8021493,1187,243.3803608
